Name of Satellite,Country of Operator/Owner,Users,Contractor,Purpose,Class of Orbit
Starlink-3838 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3839 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3840 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3841 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3842 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3843 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3844 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3845 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3846 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3847 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3848 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3849 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3850 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3851 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3852 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3853 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3854 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3855 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3856 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3857 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3858 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3859 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3860 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3861 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3862 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3863 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3864 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3865 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3866 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3867 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3868 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3869 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3870,USA,Commercial,SpaceX,Communications,LEO
Starlink-3871 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3872 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3873 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3874 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3875 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3876 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3877 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3878 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3879 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3880 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3881 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3882 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3883 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3884 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3885 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3886 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3887 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3888 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3889 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3890 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3891 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3892 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3893 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3894 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3895 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3896 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3897 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3898 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3899 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3900 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3901 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3902 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3903 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3904 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3905 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3906 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3907 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3908 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3909 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3910 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3911 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3912 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3913 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3914 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3915 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3916 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3917 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3918 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3919 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3920 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3921 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3922 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3923 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3924 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3925 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3926 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3927 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3928 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3929 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3930 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3931 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3932 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3933 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3934 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3935 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3936 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3937 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3938 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3939 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3940 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3941 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3942 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3943 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3944 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3945 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3946 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3947 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3948 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3949 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3950 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3951 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3952 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3953 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3954 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3955 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3956 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3957 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3958 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3959 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3960 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3961 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3962 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3963 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3964 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3965 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3966 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3967 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3968 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3969 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3970 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3971 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3972 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3973 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3974 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3975 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3976 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3977 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3978 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3979 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3980 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3981 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3982 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3983 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3984 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3985 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3986 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3987 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3988 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3989 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3990 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3991 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3992 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3994 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3995 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3996 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3997 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3998 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-3999 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4000 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4001 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4002 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4003 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4004 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4005 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4006 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4007 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4008 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4009 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4010 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4011 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4012 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4013 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4014 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4015 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4016 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4017 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4018 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4019 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4020 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4021 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4022 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4023 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4024 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4025 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4026 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4027 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4028 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4029 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4030 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4031 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4032 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4033 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4034 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4035 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4036 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4037 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4038 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4039 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4040 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4041 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4042 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4043 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4044 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4045 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4046 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4047 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4048 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4049 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4050 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4051 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4052 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4053,USA,Commercial,SpaceX,Communications,LEO
Starlink-4054 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4055 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4056 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4057 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4058 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4059 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4060 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4061 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4062 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4063 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4064 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4065 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4066 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4067 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4068 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4069 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4070 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4071 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4072 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4073 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4074 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4075 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4076 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4077 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4078 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4079 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4080 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4081 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4082 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4083 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4084 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4085 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4086 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4087 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4088 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4089 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4090 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4091 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4092 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4093 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4094 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4095 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4096 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4097 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4098 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4099 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4100 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4101 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4102 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4103 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4104 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4105 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4106 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4107 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4108 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4109 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4110 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4111 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4112 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4113 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4114 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4115 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4116 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4117 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4118,USA,Commercial,SpaceX,Communications,LEO
Starlink-4119 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4120,USA,Commercial,SpaceX,Communications,LEO
Starlink-4121 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4122 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4123,USA,Commercial,SpaceX,Communications,LEO
Starlink-4124 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4125 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4126 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4127 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4128 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4129 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4130 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4131 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4132 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4133 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4134 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4135 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4136 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4137 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4138,USA,Commercial,SpaceX,Communications,LEO
Starlink-4139 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4140 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4141 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4142 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4143 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4144 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4145 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4146 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4147 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4148 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4149 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4150 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4151 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4152 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4153 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4154 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4155 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4156 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4157 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4158 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4159 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4160 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4162 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4163 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4164 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4165 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4166 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4167 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4168 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4169 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4170 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4171 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4172 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4173 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4174 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4175  ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4176 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4177 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4178  ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4179 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4180 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4181  ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4182 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4183 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4184 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4185 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4186 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4187 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4188 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4189 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4190 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4191 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4192 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4193 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4194 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4195 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4196 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4197 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4198 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4199 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4200 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4201 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4202 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4203 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4204 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4205 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4206 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4207 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4208 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4209 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4210 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4211 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4212 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4213 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4214 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4215 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4216  ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4217 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4218 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4251 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4252 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4253 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4254 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4255 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4256 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4257 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4258 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4259 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4260 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4261 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4262 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4263 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4264 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4265 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4266 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4267 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4268 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4269 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4270 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4271 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4272 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4273 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4274 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4275 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4276 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4277 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4278 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4279 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4280 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4281 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4282 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4283 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4284 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4285 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4286 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4287 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4289 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4290 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4291 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4292 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4293 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4294 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4295 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4296 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4297,USA,Commercial,SpaceX,Communications,LEO
Starlink-4298 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4299 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4300 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4301 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4302,USA,Commercial,SpaceX,Communications,LEO
Starlink-4303,USA,Commercial,SpaceX,Communications,LEO
Starlink-4304 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4305 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4306 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4307 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-4308 ,USA,Commercial,SpaceX,Communications,LEO
