Name of Satellite,Country of Operator/Owner,Users,Contractor,Purpose,Class of Orbit
GeeSat 5-03,China,Commercial,Geespace,Earth Observation/Navigation,LEO
GeeSat 5-04,China,Commercial,Geespace,Earth Observation/Navigation,LEO
GeeSat 5-05,China,Commercial,Geespace,Earth Observation/Navigation,LEO
GeeSat 5-06,China,Commercial,Geespace,Earth Observation/Navigation,LEO
GeeSat 5-07,China,Commercial,Geespace,Earth Observation/Navigation,LEO
GeeSat 5-08,China,Commercial,Geespace,Earth Observation/Navigation,LEO
GeeSat 5-09,China,Commercial,Geespace,Earth Observation/Navigation,LEO
Genesis-1,USA,Commercial,Bigelow Aerospace,Technology Development,LEO
Genesis-2,USA,Commercial,Bigelow Aerospace,Technology Development,LEO
GEO IK2 12L (Cosmos 2517),Russia,Military,ISS Reshetnev,Earth Science,LEO
GEO IK2 13L (Cosmos 2540),Russia,Military,ISS Reshetnev,Earth Science,LEO
GEO-Kompsat-2A,South Korea,Government,Korea Aerospace Research Institute (KARI),Earth Observation,GEO
GEO-Kompsat-2B,South Korea,Government,Korea Aerospace Research Institute (KARI),Earth Observation,GEO
GeoEye-1 (Orbview 5),USA,Government/Commercial,General Dynamics,Earth Observation,LEO
Geotail (Geomagnetic Tail Laboratory),Multinational,Government,NASA/Goddard Space Flight Center,Space Science,Elliptical
Ghalib,United Arab Emirates,Government,AIVT by ISISSpace,Earth Observation,LEO
GHGSat-C1 (Iris),Canada,Commercial,GHGSat,Earth Science,LEO
GHGSat-C2 (Hugo),Canada,Commercial,GHGSat,Earth Science,LEO
GHGSat-C6 (Mey-Lin),Canada,Commercial,GHGSat,Earth Science,LEO
GHGSat-C7 (Gaspard),Canada,Commercial,GHGSat,Earth Science,LEO
GHGSat-C8 (Oceane),Canada,Commercial,GHGSat,Earth Science,LEO
"GHGSat-D (Greenhouse Gas Satellite - Demonstrator, Claire)",Canada,Commercial,"University of Toronto, Institute for Aerospace Studies/ Space Flight Laboratory",Earth Science,LEO
GHOSt-1 (Global Hyperspectral Observation Satellite),USA,Commercial,AstroDigital,Earth Observation,LEO
GHOSt-2 (Global Hyperspectral Observation Satellite),USA,Commercial,AstroDigital,Earth Observation,LEO
"Global Change Observation Mission - 1 Water (GCOM-1, Shikuzu)",USA/Japan,Government,Japan Aerospace Exploration Agency (JAXA),Earth Observation,LEO
Globalstar FM15,USA,Commercial,Thales Alenia Space,Communications,LEO
Globalstar M037 (Globalstar 16),USA,Commercial,Space Systems/Loral,Communications,LEO
Globalstar M065 (Globalstar 65),USA,Commercial,Space Systems/Loral/Alenia Aerospazio,Communications,LEO
Globalstar M066 (Globalstar 66),USA,Commercial,Space Systems/Loral/Alenia Aerospazio,Communications,LEO
Globalstar M067 (Globalstar 67),USA,Commercial,Space Systems/Loral/Alenia Aerospazio,Communications,LEO
Globalstar M069 (Globalstar 69),USA,Commercial,Space Systems/Loral/Alenia Aerospazio,Communications,LEO
Globalstar M070 (Globalstar 70),USA,Commercial,Space Systems/Loral/Alenia Aerospazio,Communications,LEO
Globalstar M071 (Globalstar 71),USA,Commercial,Space Systems/Loral/Alenia Aerospazio,Communications,LEO
Globalstar M072 (Globalstar 72),USA,Commercial,Space Systems/Loral/Alenia Aerospazio,Communications,LEO
"Globalstar M073 (Globalstar 73, Globalstar 2-6)",USA,Commercial,Thales Alenia Space,Communications,LEO
"Globalstar M074 (Globalstar 74, Globalstar 2-2)",USA,Commercial,Thales Alenia Space,Communications,LEO
"Globalstar M075 (Globalstar 75, Globalstar 2-5)",USA,Commercial,Thales Alenia Space,Communications,LEO
"Globalstar M076 (Globalstar 76, Globalstar 2-3)",USA,Commercial,Thales Alenia Space,Communications,LEO
"Globalstar M077 (Globalstar 77, Globalstar 2-4)",USA,Commercial,Thales Alenia Space,Communications,LEO
"Globalstar M078 (Globalstar 95, Globalstar 2-23)",USA,Commercial,Thales Alenia Space,Communications,LEO
"Globalstar M079 (Globalstar 79, Globalstar 2-1)",USA,Commercial,Thales Alenia Space,Communications,LEO
"Globalstar M080 (Globalstar 80, Globalstar 2-14)",USA,Commercial,Thales Alenia Space,Communications,LEO
"Globalstar M081 (Globalstar 81, Globalstar 2-11)",USA,Commercial,Thales Alenia Space,Communications,LEO
"Globalstar M082 (Globalstar 82, Globalstar 2-15)",USA,Commercial,Thales Alenia Space,Communications,LEO
"Globalstar M083 (Globalstar 83, Globalstar 2-7)",USA,Commercial,Thales Alenia Space,Communications,LEO
"Globalstar M084 (Globalstar 84, Globalstar 2-13) ",USA,Commercial,Thales Alenia Space,Communications,LEO
"Globalstar M085 (Globalstar 85, Globalstar 2-10)",USA,Commercial,Thales Alenia Space,Communications,LEO
"Globalstar M086 (Globalstar 86, Globalstar 2-18)",USA,Commercial,Thales Alenia Space,Communications,LEO
"Globalstar M088 (Globalstar 88, Globalstar 2-8)",USA,Commercial,Thales Alenia Space,Communications,LEO
"Globalstar M089 (Globalstar 89, Globalstar 2-12)",USA,Commercial,Thales Alenia Space,Communications,LEO
"Globalstar M090 (Globalstar 90, Globalstar 2-17)",USA,Commercial,Thales Alenia Space,Communications,LEO
"Globalstar M091 (Globalstar 91, Globalstar 2-9)",USA,Commercial,Thales Alenia Space,Communications,LEO
"Globalstar M092 (Globalstar 92, Globalstar 2-16)",USA,Commercial,Thales Alenia Space,Communications,LEO
"Globalstar M093 (Globalstar 87, Globalstar 2-20)",USA,Commercial,Thales Alenia Space,Communications,LEO
"Globalstar M094 (Globalstar 93, Globalstar 2-21)",USA,Commercial,Thales Alenia Space,Communications,LEO
"Globalstar M095 (Globalstar 96, Globalstar 2-24)",USA,Commercial,Thales Alenia Space,Communications,LEO
"Globalstar M096 (Globalstar 94, Globalstar 2-22)",USA,Commercial,Thales Alenia Space,Communications,LEO
"Globalstar M097 (Globalstar 78, Globalstar 2-19)",USA,Commercial,Thales Alenia Space,Communications,LEO
"Glonass (Glonass-M, Cosmos 2559)",Russia,Military/Commercial,ISS Reshetnev,Navigation/Global Positioning,MEO
"Glonass 701 (Glonass-K, Cosmos 2471)",Russia,Military/Commercial,ISS Reshetnev,Navigation/Global Positioning,MEO
"Glonass 702 (Glonass K, Cosmos 2501)",Russia,Military/Commercial,ISS Reshetnev,Navigation/Global Positioning,MEO
"Glonass 705 (Glonass M, Cosmos 2547)",Russia,Military/Commercial,ISS Reshetnev,Navigation/Global Positioning,MEO
"Glonass 706 (Glonass K, Cosmos 2557)",Russia,Military/Commercial,ISS Reshetnev,Navigation/Global Positioning,MEO
"Glonass 716 (Glonass 35-2, Cosmos 2425)",Russia,Military/Commercial,ISS Reshetnev,Navigation/Global Positioning,MEO
"Glonass 717 (Glonass 35-3, Cosmos 2426)",Russia,Military/Commercial,ISS Reshetnev,Navigation/Global Positioning,MEO
"Glonass 719 (Glonass 36-2, Cosmos 2432)",Russia,Military/Commercial,ISS Reshetnev,Navigation/Global Positioning,MEO
"Glonass 720 (Glonass 36-3, Cosmos 2433)",Russia,Military/Commercial,ISS Reshetnev,Navigation/Global Positioning,MEO
"Glonass 721 (Glonass 37-1, Cosmos 2435)",Russia,Military/Commercial,ISS Reshetnev,Navigation/Global Positioning,MEO
"Glonass 723 (Glonass 37-3, Cosmos 2436)",Russia,Military/Commercial,ISS Reshetnev,Navigation/Global Positioning,MEO
"Glonass 730 (Glonass 41-1, Cosmos 2456)",Russia,Military/Commercial,ISS Reshetnev,Navigation/Global Positioning,MEO
"Glonass 731 (Glonass 42-1, Cosmos 2459)",Russia,Military/Commercial,ISS Reshetnev,Navigation/Global Positioning,MEO
"Glonass 732 (Glonass 42-3, Cosmos 2460)",Russia,Military/Commercial,ISS Reshetnev,Navigation/Global Positioning,MEO
"Glonass 733 (Glonass 41-2, Cosmos 2457)",Russia,Military/Commercial,ISS Reshetnev,Navigation/Global Positioning,MEO
"Glonass 735 (Glonass 42-2, Cosmos 2461)",Russia,Military/Commercial,ISS Reshetnev,Navigation/Global Positioning,MEO
"Glonass 736 (Glonass 43-1, Cosmos 2464)",Russia,Military/Commercial,ISS Reshetnev,Navigation/Global Positioning,MEO
"Glonass 743 (Glonass 44-2, Cosmos 2476)",Russia,Military/Commercial,ISS Reshetnev,Navigation/Global Positioning,MEO
